Cluster,Penetration,Monkey Name,Effect Size,Layers,Baseline Classification,Evoked Classification,Baseline p-value,Evoked p-value,Baseline High Firing Rate,Baseline Low Firing Rate,Evoked High Firing Rate,Evoked Low Firing Rate
121,5/23/2024,Sansa,0.9862227324913891,,no effect,no effect,0.23833040133869157,0.8176467534751802,4.038461538461538,4.438461538461539,6.607692307692307,6.7
125,5/23/2024,Sansa,1.0014492753623188,,no effect,no effect,0.7483119999549277,0.987782089,11.561538461538461,11.192307692307692,10.63076923076923,10.615384615384615
127,5/23/2024,Sansa,0.896551724,,down,no effect,6.304966558126378e-05,0.065983875,6.076923076923077,7.776923076923077,6.4,7.138461538461539
132,5/23/2024,Sansa,1.3333333333333333,,no effect,up,0.11875161373394105,0.019336009,1.2846153846153847,1,2,1.5
133,5/23/2024,Sansa,1.067476383265857,,no effect,no effect,0.23683502218765598,0.3768309925040968,3.576923076923077,3.9615384615384617,6.084615384615384,5.7
135,5/23/2024,Sansa,1.0401721664275467,,no effect,no effect,0.3192540994034592,0.5321305052042967,5.930769230769231,6.230769230769231,5.576923076923077,5.361538461538461
140,5/23/2024,Sansa,1.165803109,,no effect,no effect,0.3404706596331122,0.051649824,4.846153846153846,4.553846153846154,5.1923076923076925,4.453846153846154
142,5/23/2024,Sansa,0.9809358752166376,,no effect,no effect,0.4724231889530749,0.8534886140377715,3.5923076923076924,3.876923076923077,4.3538461538461535,4.438461538461539
145,5/23/2024,Sansa,0.7085427135678392,,down,down,0.000332106,0.009930351,1.0538461538461539,1.6615384615384616,1.0846153846153845,1.5307692307692307
157,5/23/2024,Sansa,1.1173245614035088,,no effect,no effect,0.2407348384937015,0.059239391,7.430769230769231,7.038461538461538,7.838461538461538,7.015384615384615
159,5/23/2024,Sansa,1.0726855394032135,,down,no effect,0.003539446,0.21767898142414116,7.6,8.815384615384616,10.784615384615385,10.053846153846154
163,5/23/2024,Sansa,1.0825565912117177,,no effect,no effect,0.9688263419199198,0.21151399167801724,6.1461538461538465,6.161538461538462,6.253846153846154,5.776923076923077
164,5/23/2024,Sansa,1.0027447392497713,,no effect,no effect,0.18642924131974334,0.9500050698636173,9.215384615384615,8.723076923076922,8.430769230769231,8.407692307692308
168,5/23/2024,Sansa,1.142857142857143,,no effect,no effect,0.29309173788570314,0.16672334666841312,1.5,1.323076923076923,1.7230769230769232,1.5076923076923077
170,5/23/2024,Sansa,0.9740853658536587,,no effect,no effect,0.8455744444353988,0.7487617007259977,3.8923076923076922,3.830769230769231,4.915384615384616,5.046153846153846
172,5/23/2024,Sansa,1.0833333333333335,,no effect,no effect,0.9786569992197055,0.2775623742475154,3.3923076923076922,3.3846153846153846,4.9,4.523076923076923
173,5/23/2024,Sansa,1.0322916666666666,,no effect,no effect,0.096456896,0.48060797988233916,7.269230769230769,6.661538461538462,7.623076923076923,7.384615384615385
183,5/23/2024,Sansa,1.0429362880886426,,no effect,no effect,0.694223071,0.534049334,4.884615384615385,4.753846153846154,5.792307692307692,5.553846153846154
187,5/23/2024,Sansa,1.8667953667953667,,up,up,1.045831482846796e-07,1.567922744507062e-10,7.1692307692307695,4.338461538461538,7.438461538461539,3.9846153846153847
188,5/23/2024,Sansa,0.708187544,,down,down,2.078877557019502e-05,6.041154701199823e-07,6.2,8.607692307692307,7.7846153846153845,10.992307692307692
191,5/23/2024,Sansa,0.9725759059745349,,no effect,no effect,0.22745230552438542,0.644536362,5.315384615384615,5.6923076923076925,7.638461538461539,7.8538461538461535
198,5/23/2024,Sansa,0.9143290371493557,,no effect,no effect,0.1495641682010826,0.092290721,8.4,9.076923076923077,9.276923076923078,10.146153846153846
199,5/23/2024,Sansa,0.8602673147023087,,no effect,no effect,0.39506200826485127,0.065668795,3.8461538461538463,4.207692307692308,5.446153846153846,6.3307692307692305
202,5/23/2024,Sansa,0.9560229445506693,,no effect,no effect,0.5479502761971562,0.5741334882081708,3.1846153846153844,3.3461538461538463,3.8461538461538463,4.023076923076923
206,5/23/2024,Sansa,1.0555555555555556,,no effect,no effect,0.056982195,0.3635639838493582,4.515384615384615,4,5.992307692307692,5.676923076923077
211,5/23/2024,Sansa,1.1553030303030305,,up,no effect,0.009659853,0.19125844862783123,1.9538461538461538,1.4153846153846155,2.3461538461538463,2.0307692307692307
213,5/23/2024,Sansa,0.8392156862745098,,no effect,down,0.599797039,0.041565827528739156,2.546153846153846,2.6923076923076925,3.292307692307692,3.923076923076923
216,5/23/2024,Sansa,1.270440251572327,,no effect,no effect,0.5838645952561753,0.057245395,0.6615384615384615,0.7230769230769231,1.5538461538461539,1.2230769230769232
219,5/23/2024,Sansa,1.1960784313725492,,no effect,no effect,0.593090443,0.090628093,2.7615384615384615,2.6076923076923078,5.161538461538462,4.315384615384615
224,5/23/2024,Sansa,0.981042654,,no effect,no effect,0.27493496865705397,0.8138247836430031,2.0692307692307694,2.3384615384615386,4.776923076923077,4.869230769230769
227,5/23/2024,Sansa,1.0946930280957334,,no effect,no effect,0.546367071,0.15634820607245728,3.546153846153846,3.769230769230769,8.092307692307692,7.392307692307693
228,5/23/2024,Sansa,1.243781094527363,,no effect,up,0.6056857977045014,0.039209853,2.6076923076923078,2.523076923076923,1.9230769230769231,1.5461538461538462
236,5/23/2024,Sansa,1.081168831168831,,no effect,no effect,0.12601283512679867,0.34875248133800585,1.6846153846153846,1.2538461538461538,5.123076923076923,4.7384615384615385
237,5/23/2024,Sansa,0.6445312499999999,,no effect,no effect,0.23449890625154976,0.066725876,0.8307692307692308,1.123076923076923,1.2692307692307692,1.9692307692307693
239,5/23/2024,Sansa,1.0525217391304347,,no effect,no effect,0.41521307859096734,0.385897574,7.9,7.076923076923077,23.276923076923076,22.115384615384617
240,5/23/2024,Sansa,1.0564430244941427,,no effect,no effect,0.3108474873001411,0.4083555358286304,3.746153846153846,4.346153846153846,15.261538461538462,14.446153846153846
245,5/23/2024,Sansa,1.0646687697160884,,no effect,no effect,0.2806713641018017,0.35714719992100463,2.3461538461538463,2.0846153846153848,5.1923076923076925,4.876923076923077
247,5/23/2024,Sansa,1.096124031007752,,no effect,no effect,0.9669517974336168,0.11562533497824799,5.969230769230769,5.946153846153846,10.876923076923077,9.923076923076923
248,5/23/2024,Sansa,1.032564450474898,,no effect,no effect,0.5370881119260893,0.6049745292124586,4.315384615384615,4.561538461538461,5.8538461538461535,5.6692307692307695
249,5/23/2024,Sansa,1.134936539746159,,no effect,up,0.17407680651354007,0.036735035046984076,11.253846153846155,10.223076923076922,13.069230769230769,11.515384615384615
255,5/23/2024,Sansa,1.0924912978617602,,no effect,no effect,0.2700253985886829,0.050733730200209194,12.323076923076924,13.076923076923077,16.9,15.46923076923077
256,5/23/2024,Sansa,0.9392912975508076,,no effect,no effect,0.1270014538853318,0.20683759764366358,17.676923076923078,19.369230769230768,27.73076923076923,29.523076923076925
257,5/23/2024,Sansa,1.051482701812191,,no effect,no effect,0.2910601872801029,0.3485092429737412,9.630769231,10.492307692307692,19.638461538461538,18.676923076923078
258,5/23/2024,Sansa,0.9046087888531618,,down,no effect,0.027441311,0.16099763093926842,3.2153846153846155,4.092307692307692,6.492307692307692,7.176923076923077
262,5/23/2024,Sansa,1.0995723885155773,,no effect,no effect,0.14782402102100423,0.10317825905049628,7.884615384615385,8.853846153846154,13.846153846153847,12.592307692307692
263,5/23/2024,Sansa,0.7198364008179959,,no effect,down,0.945558107,0.001431119,1.6076923076923078,1.623076923076923,2.707692307692308,3.7615384615384615
264,5/23/2024,Sansa,0.923004251,,no effect,no effect,0.21414147995726948,0.30609435284391195,6.469230769230769,7.507692307692308,15.03076923076923,16.284615384615385
266,5/23/2024,Sansa,1.0603174603174603,,no effect,no effect,0.6926544326605196,0.35471661419075606,6.361538461538461,6.7,25.692307692307693,24.23076923076923
267,5/23/2024,Sansa,1.044349070100143,,no effect,no effect,0.5912662298893062,0.638766822,1.2923076923076924,1.4076923076923078,5.615384615384615,5.376923076923077
273,5/23/2024,Sansa,1.0467032967032968,,down,no effect,0.033960403222306805,0.4989880834317624,3.3076923076923075,4,8.792307692307693,8.4
279,5/23/2024,Sansa,1,,no effect,no effect,0.7552749011600386,1,2.7,2.753846153846154,2.9692307692307693,2.9692307692307693
280,5/23/2024,Sansa,0.9700272479564033,,no effect,no effect,0.9329202473978193,0.6338715662800007,2.723076923076923,2.7384615384615385,2.7384615384615385,2.8230769230769233
281,5/23/2024,Sansa,1.0264129508662312,,down,no effect,0.049550649467982176,0.7145875290450865,6.092307692307692,7.815384615384615,27.8,27.084615384615386
283,5/23/2024,Sansa,1.1040372670807452,,no effect,no effect,0.983669039,0.25130643768118255,2.3615384615384616,2.353846153846154,10.938461538461539,9.907692307692308
284,5/23/2024,Sansa,1.0533689126084056,,no effect,no effect,0.8752749375876165,0.579239518,2.5923076923076924,2.523076923076923,12.146153846153846,11.53076923076923
285,5/23/2024,Sansa,1.0611940298507463,,no effect,no effect,0.32662831752343535,0.5297685454006935,1,1.2692307692307692,5.469230769230769,5.153846153846154
288,5/23/2024,Sansa,1.0980392156862746,,no effect,no effect,0.4743623266140421,0.32583831526326934,4.661538461538462,5.392307692307693,30.153846153846153,27.46153846153846
295,5/23/2024,Sansa,1.1494042163153069,,no effect,no effect,0.8496522158299058,0.2001454716871271,1.123076923076923,1.1923076923076923,9.646153846153846,8.392307692307693
309,5/23/2024,Sansa,1.2159971811134602,,no effect,no effect,0.24099509339735276,0.053394332,4.3307692307692305,3.207692307692308,26.546153846153846,21.83076923076923
311,5/23/2024,Sansa,1.3904856293359764,,no effect,up,0.30918920401431954,0.005877273,3.6846153846153844,3.1384615384615384,10.792307692307693,7.7615384615384615
312,5/23/2024,Sansa,1.0717808219178082,,no effect,no effect,0.4001152434731622,0.4561352845726705,2.9,3.353846153846154,15.046153846153846,14.038461538461538
313,5/23/2024,Sansa,0.9008902077151335,,no effect,no effect,0.6648408027640346,0.26669039600791095,2.7153846153846155,2.9,11.676923076923076,12.961538461538462
314,5/23/2024,Sansa,0.9603267211201867,,no effect,no effect,0.8285044696312167,0.7303899720487712,0.8769230769230769,0.9230769230769231,6.3307692307692305,6.592307692307692
